count,sendLat,sendLon,receiveLat,receiveLon
1,46.6103274, 14.3304032,50.8498949, 4.4485103
1,46.616079, 14.2652899,50.85363880000001, 4.361341599999999
1,47.0691371, 15.4503154,50.86124110000001, 4.3673231
5,47.0691371, 15.4503154,50.87795449999999, 4.7002953
2,47.0693, 15.4097888,50.8217236, 3.250614300000001
2,47.0693, 15.4097888,51.202291, 4.390473000000001
2,47.0693, 15.4097888,51.21946459999999, 4.4121492
1,47.0777872, 15.4499126,50.5830803, 5.559063999999999
1,47.0777872, 15.4499126,50.84991300000001, 4.4537721
3,47.0777872, 15.4499126,50.87795449999999, 4.7002953
1,47.0777872, 15.4499126,51.0465619, 3.727918099999999
2,47.0777872, 15.4499126,51.2228097, 4.4102318
1,47.0797409, 15.4665653,50.8132068, 4.3822222
1,47.0821029, 15.4379865,51.21946459999999, 4.4121492
1,47.26335419999999, 11.3838006,50.45858699999999, 3.951435599999999
1,47.26335419999999, 11.3838006,50.466158, 4.860199
1,47.26335419999999, 11.3838006,50.5830803, 5.559063999999999
2,47.26335419999999, 11.3838006,50.8132068, 4.3822222
4,47.26335419999999, 11.3838006,50.8505269, 4.3642391
1,47.26335419999999, 11.3838006,50.9263616, 5.391964
2,47.26905199999999, 11.398186,50.8383646, 4.4085297
2,47.26905199999999, 11.398186,50.87795449999999, 4.7002953
1,47.4067642, 9.744422300000002,51.1601218, 4.9614528
2,47.4067642, 9.744422300000002,51.202291, 4.390473000000001
1,47.8294118, 16.5350525,50.5830803, 5.559063999999999
1,47.8294118, 16.5350525,50.87795449999999, 4.7002953
1,48.1986546, 16.3684626,50.8132068, 4.3822222
1,48.2018433, 16.3848833,50.86124110000001, 4.3673231
1,48.21318549999999, 16.3600504,50.5830803, 5.559063999999999
3,48.21318549999999, 16.3600504,50.66968749999999, 4.6155909
6,48.21318549999999, 16.3600504,50.8132068, 4.3822222
2,48.21318549999999, 16.3600504,50.84991300000001, 4.4537721
2,48.21318549999999, 16.3600504,50.8505269, 4.3642391
11,48.21318549999999, 16.3600504,50.87795449999999, 4.7002953
6,48.21318549999999, 16.3600504,51.2228097, 4.4102318
2,48.21342749999999, 16.4084666,50.66968749999999, 4.6155909
1,48.21342749999999, 16.4084666,51.2228097, 4.4102318
4,48.2138999, 15.6318955,50.92897989999999, 5.395022099999999
2,48.2191963, 16.4033427,50.87795449999999, 4.7002953
2,48.2191963, 16.4033427,51.0465619, 3.727918099999999
4,48.2191963, 16.4033427,51.202291, 4.390473000000001
2,48.2196989, 16.3515215,50.8132068, 4.3822222
1,48.2266205, 16.3488829,50.8498949, 4.4485103
1,48.2365448, 16.337579,50.821658, 4.394886
2,48.2365448, 16.337579,51.0465619, 3.727918099999999
1,48.2365448, 16.337579,51.2228097, 4.4102318
1,48.305847, 14.2893048,51.202291, 4.390473000000001
1,48.3112427, 14.2689553,50.842239, 4.322808
1,48.336614, 14.319305,50.66968749999999, 4.6155909
1,48.336614, 14.319305,50.87795449999999, 4.7002953
2,47.583807, 12.1736679,42.6570607, 23.3551086
1,48.305847, 14.2893048,42.6950917, 23.3341877
1,47.0693, 15.4097888,47.4818831, 8.211481
3,47.0693, 15.4097888,47.499913, 8.720521999999999
1,47.07225649999999, 15.4499422,47.046681, 8.314912
1,47.0777872, 15.4499126,46.199444, 6.1451157
1,47.0777872, 15.4499126,47.56025349999999, 7.5826
1,47.0797409, 15.4665653,47.56025349999999, 7.5826
1,47.0821029, 15.4379865,47.4302447, 9.3822719
1,47.0894341, 15.4401255,46.9423824, 7.4405459
1,47.2533719, 11.3952919,47.4302447, 9.3822719
1,47.26335419999999, 11.3838006,46.199444, 6.1451157
1,47.26335419999999, 11.3838006,47.0494042, 8.312521499999999
2,47.26905199999999, 11.398186,47.046681, 8.314912
2,47.26905199999999, 11.398186,47.499913, 8.720521999999999
3,47.4067642, 9.744422300000002,47.4208158, 9.3636441
4,47.583807, 12.1736679,47.4208158, 9.3636441
6,48.1986546, 16.3684626,46.5190557, 6.5667576
2,48.1986546, 16.3684626,47.3743221, 8.550981199999999
8,48.1986546, 16.3684626,47.376313, 8.547669899999999
1,48.2012533, 16.3651029,47.3625918, 7.3522363
1,48.2018433, 16.3848833,46.9423824, 7.4405459
1,48.2018433, 16.3848833,47.3625918, 7.3522363
1,48.2048619, 16.3722642,46.9423824, 7.4405459
1,48.208361, 16.3823507,47.3904213, 8.5114996
10,48.21318549999999, 16.3600504,46.199444, 6.1451157
2,48.21318549999999, 16.3600504,46.5210895, 6.5801606
6,48.21318549999999, 16.3600504,46.806357, 7.152006
2,48.21318549999999, 16.3600504,46.9504896, 7.438119
1,48.21318549999999, 16.3600504,47.0494042, 8.312521499999999
6,48.21318549999999, 16.3600504,47.3743221, 8.550981199999999
1,48.21318549999999, 16.3600504,47.4321575, 9.3755673
2,48.21318549999999, 16.3600504,47.56025349999999, 7.5826
1,48.21342749999999, 16.4084666,46.199444, 6.1451157
5,48.21342749999999, 16.4084666,46.5210895, 6.5801606
2,48.21342749999999, 16.4084666,47.3743221, 8.550981199999999
7,48.21342749999999, 16.4084666,47.4321575, 9.3755673
2,48.2138999, 15.6318955,46.9423824, 7.4405459
2,48.2191963, 16.4033427,47.4818831, 8.211481
3,48.2196989, 16.3515215,46.5210895, 6.5801606
2,48.2196989, 16.3515215,47.3743221, 8.550981199999999
1,48.2266205, 16.3488829,47.4818831, 8.211481
2,48.25442229999999, 16.4316619,47.3743221, 8.550981199999999
3,48.2942221, 16.3809957,47.0510453, 8.3023319
2,48.2942221, 16.3809957,47.3776241, 8.5346572
1,48.3076144, 14.3047467,46.199444, 6.1451157
1,48.3112427, 14.2689553,46.9423824, 7.4405459
1,48.40872, 15.5880216,47.4208158, 9.3636441
1,47.0691371, 15.4503154,35.1600014, 33.37701750000001
1,48.1581335, 16.3818151,35.1794916, 33.3804358
2,48.21318549999999, 16.3600504,35.1600014, 33.37701750000001
2,48.2191963, 16.4033427,35.165581, 33.3145989
2,46.6103274, 14.3304032,50.0842288, 14.4412041
3,47.0691371, 15.4503154,50.1030364, 14.3912841
1,47.07225649999999, 15.4499422,49.196131, 16.610349
1,47.0777872, 15.4499126,49.19862990000001, 16.605384
1,47.0777872, 15.4499126,50.0871106, 14.4234889
1,47.0797409, 15.4665653,50.0871106, 14.4234889
1,47.26303619999999, 11.3844528,50.0871106, 14.4234889
1,47.26335419999999, 11.3838006,50.0871106, 14.4234889
4,47.26905199999999, 11.398186,50.0528882, 14.3320934
1,47.26905199999999, 11.398186,50.0842288, 14.4412041
1,47.26905199999999, 11.398186,50.129994, 14.3735979
2,47.4067642, 9.744422300000002,49.20171999999999, 16.6033168
1,47.79722959999999, 13.0479826,49.5954268, 17.2600152
1,48.1548429, 14.0112978,48.9786197, 14.4482139
1,48.1548429, 14.0112978,50.0842288, 14.4412041
3,48.1548429, 14.0112978,50.4145335, 14.9035705
1,48.1986546, 16.3684626,49.8336826, 18.1636092
3,48.1986546, 16.3684626,50.1030364, 14.3912841
1,48.21318549999999, 16.3600504,49.19862990000001, 16.605384
12,48.21318549999999, 16.3600504,50.0871106, 14.4234889
9,48.21342749999999, 16.4084666,50.0842288, 14.4412041
1,48.2138999, 15.6318955,50.0528882, 14.3320934
1,48.2196989, 16.3515215,50.0871106, 14.4234889
7,48.2365448, 16.337579,50.129994, 14.3735979
1,48.23928309999999, 16.3773241,49.3988665, 15.582486
1,48.305847, 14.2893048,49.723644, 13.351554
1,48.3076144, 14.3047467,48.9786197, 14.4482139
1,48.3076144, 14.3047467,50.0871106, 14.4234889
12,48.336614, 14.319305,48.9786197, 14.4482139
1,48.336614, 14.319305,50.0842288, 14.4412041
1,48.336614, 14.319305,50.0871106, 14.4234889
1,46.6103274, 14.3304032,49.002833, 12.095995
2,46.6103274, 14.3304032,50.9214879, 6.9634328
1,46.6103274, 14.3304032,52.4854412, 13.3378513
2,46.616079, 14.2652899,48.14966, 11.5678602
3,46.616079, 14.2652899,50.9281625, 6.9288193
1,46.616079, 14.2652899,52.133335, 9.9755434
2,46.616079, 14.2652899,52.4854412, 13.3378513
2,46.616079, 14.2652899,53.2288838, 10.4017943
