Institutional code,Name of Organisation,Country,City,coordinates
SI LJUBLJA09,"VISOKA ŠOLA ZA DIZAJN V LJUBLJANI, SAMOSTOJNI VISOKOŠOLSKI ZAVOD, PRIDRUŽENA ČLANICA UNIVERZE NA PRIMORSKEM",SI,LJUBLJANA,"(46.0728752, 14.5188497)"
SI LJUBLJA10,"INSTITUTUM STUDIORUM HUMANITATIS, FAKULTETA ZA PODIPLOMSKI HUMANISTICNI STUDIJ, LJUBLJANA",SI,LJUBLJANA,"(46.0732056, 14.5118658)"
SI LJUBLJA11,BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA VIŠJA STROKOVNA ŠOLA,SI,LJUBLJANA,"(46.0397001, 14.5130312)"
SI LJUBLJA13,"MUCH, IZOBRAŽEVANJE, D. O. O. VIŠJA STROKOVNA ŠOLA",SI,Ljubljana,"(46.0343811, 14.4832166)"
SI LJUBLJA15,"INTER-ES, VIŠJA STROKOVNA ŠOLA",SI,LJUBLJANA,"(46.04640329999999, 14.4677412)"
SI LJUBLJA16,"INŠTITUT IN AKADEMIJA ZA MULTIMEDIJE, LJUBLJANA",SI,LJUBLJANA,"(46.0650381, 14.5567905)"
SI LJUBLJA17,VISOKA ŠOLA ZA STORITVE,SI,LJUBLJANA,"(46.0392617, 14.4880809)"
SI LJUBLJA18,IBS MEDNARODNA POSLOVNA SOLA LJUBLJANA,SI,LJUBLJANA,"(46.0420211, 14.4955573)"
SI LJUBLJA19,VISOKA POSLOVNA ŠOLA ERUDIO,SI,LJUBLJANA,"(46.0782704, 14.4909669)"
SI LJUBLJA20,FAKULTETA ZA MEDIJE V LJUBLJANI,SI,LJUBLJANA,"(46.0625351, 14.5604192)"
SI LJUBLJA21,VISOKA ŠOLA ZA POSLOVNE VEDE,SI,LJUBLJANA,"(46.04498, 14.485134)"
SI LJUBLJA22,VISOKA ŠOLA ZA TRAJNOSTNI TURIZEM ERUDIO,SI,LJUBLJANA,"(46.0782704, 14.4909669)"
SI LJUBLJA23,"ŠOLSKI CENTER ZA POŠTO, EKONOMIJO IN TELEKOMUNIKACIJE LJUBLJANA, VIŠJA STROKOVNA ŠOLA",SI,LJUBLJANA,"(46.06743549999999, 14.5144901)"
SI MARIBOR01,UNIVERZA V MARIBORU,SI,MARIBOR,"(46.5591885, 15.6433073)"
SI MARIBOR02,DOBA FAKULTETA ZA UPORABNE POSLOVNE IN DRUŽBENE ŠTUDIJE  MARIBOR,SI,Maribor,"(46.560616, 15.651526)"
SI MARIBOR03,VIŠJA STROKOVNA ŠOLA ZA GOSTINSTVO IN TURIZEM MARIBOR,SI,MARIBOR,"(46.5613271, 15.6552035)"
SI MARIBOR04,LESARSKA SOLA MARIBOR - VISJA STROKOVNA SOLA,SI,MARIBOR,"(46.5619404, 15.6005051)"
SI MARIBOR05,IZOBRAŽEVALNI CENTER PIRAMIDA MARIBOR,SI,MARIBOR,"(46.5470316, 15.6436849)"
SI MARIBOR06,DOBA VIŠJA STROKOVNA ŠOLA,SI,MARIBOR,"(46.560616, 15.651526)"
SI MARIBOR07,VIŠJA STROKOVNA ŠOLA ACADEMIA,SI,MARIBOR,"(46.5578347, 15.6464596)"
SI MARIBOR08,"PROMETNA SOLA MARIBOR, VISJA PROMETNA SOLA",SI,MARIBOR,"(46.5535215, 15.6247351)"
SI MARIBOR09,VISOKA ŠOLA ZA TEHNOLOGIJO POLIMEROV,SI,SLOVENJ GRADEC,"(46.5140232, 15.0752733)"
SI MARIBOR10,"EVROPSKO SREDIŠČE MARIBOR, ESM",SI,MARIBOR ,"(46.56017809999999, 15.6453332)"
SI MARIBOR11,ŠOLSKI CENTER PTUJ,SI,PTUJ,"(46.4261223, 15.8699494)"
SI MARIBOR12,VISOKA ŠOLA ZA ZDRAVSTVENE VEDE SLOVENJ GRADEC,SI,SLOVENJ GRADEC,"(46.5075851, 15.0768162)"
SI MARIBOR13,"TEHNIŠKI ŠOLSKI CENTER MARIBOR, VIŠJA STROKOVNA ŠOLA",SI,MARIBOR,"(46.5252944, 15.671869)"
SI MU-SOB01,"EKONOMSKA ŠOLA MURSKA SOBOTA, VIŠJA STROKOVNA ŠOLA",SI,Murska Sobota,"(46.6656684, 16.1811113)"
SI NAKLO01,BIOTEHNIŠKI CENTER NAKLO,SI,NAKLO,"(46.2834065, 14.3009947)"
SI NOVA-GO01,UNIVERZA V NOVI GORICI,SI,NOVA GORICA,"(45.94226099999999, 13.6395425)"
SI NOVA-GO02,FAKULTETA ZA UPORABNE DRUŽBENE ŠTUDIJE V NOVI GORICI,SI,NOVA GORICA,"(45.9532056, 13.6491112)"
SI NOVA-GO04,EVROPSKA PRAVNA FAKULTETA V NOVI GORICI,SI,NOVA GORICA,"(45.9564923, 13.6462395)"
SI NOVA-GO05,TEHNIŠKI ŠOLSKI CENTER NOVA GORICA,SI,NOVA GORICA,"(45.95624730000001, 13.6439292)"
SI NOVO-ME01,VISOKA SOLA ZA UPRAVLJANJE IN POSLOVANJE NOVO MESTO,SI,NOVO MESTO,"(45.8328208, 15.1899264)"
SI NOVO-ME02,GRM NOVO MESTO - CENTER BIOTEHNIKE IN TURIZMA,SI,NOVO MESTO,"(45.8328208, 15.1899264)"
SI NOVO-ME03,ŠOLSKI CENTER NOVO MESTO VIŠJA STROKOVNA ŠOLA,SI,Novo mesto,"(45.7946907, 15.1591169)"
SI NOVO-ME04,"EKONOMSKA SOLA NOVO MESTO, VISJA STROKOVNA SOLA",SI,Novo mesto,"(45.8068303, 15.1648044)"
SI NOVO-ME05,FAKULTETA ZA INFORMACIJSKE ŠTUDIJE V NOVEM MESTU,SI,NOVO MESTO,"(45.8174534, 15.1541762)"
SI NOVO-ME06,VISOKA ŠOLA ZA ZDRAVSTVO NOVO MESTO,SI,NOVO MESTO,"(45.8043383, 15.1635702)"
SI NOVO-ME07,"EKONOMSKA IN TRGOVSKA ŠOLA BREŽICE, VIŠJA STROKOVNA ŠOLA",SI,BREŽICE,"(45.9074483, 15.6049092)"
