Institutional code,Name of Organisation,Country,City,coordinates
A  BADEN01,PAEDAGOGISCHE HOCHSCHULE NIEDEROESTERREICH,AT,Baden,"(48.00849239999999, 16.2552558)"
A  DORNBIR01,FACHHOCHSCHULE VORARLBERG GMBH,AT,Dornbirn,"(47.4067642, 9.744422300000002)"
A  EISENST01,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,AT,Eisenstadt,"(47.8295268, 16.5337338)"
A  EISENST02,Fachhochschulstudiengaenge Burgenland Gesellschaft m.b.H,AT,Eisenstadt,"(47.8294118, 16.5350525)"
A  EISENST05,JOSEPH HAYDN KONSERVATORIUM DES LANDES BURGENLAND,AT,Eisenstadt,"(47.8500376, 16.514385)"
A  FELDKIR01,PAEDAGOGISCHE HOCHSCHULE VORARLBERG,AT,Feldkirch,"(47.2339377, 9.590126399999999)"
A  FELDKIR03,VORARLBERGER LANDESKONSERVATORIUM GMBH,AT,Feldkirch,"(47.23518869999999, 9.595284699999999)"
A  GRAZ01,KARL-FRANZENS-UNIVERSITAET GRAZ,AT,Graz,"(47.0777872, 15.4499126)"
A  GRAZ02,TECHNISCHE UNIVERSITAET GRAZ ,AT,Graz,"(47.0691371, 15.4503154)"
A  GRAZ03,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ,AT,Graz,"(47.07225649999999, 15.4499422)"
A  GRAZ04,PAEDAGOGISCHE HOCHSCHULE STEIERMARK,AT,GRAZ,"(47.082634, 15.4339869)"
A  GRAZ08,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE DER DIOEZESE GRAZ-SECKAU,AT,Graz,"(47.0821029, 15.4379865)"
A  GRAZ09,FH JOANNEUM GESELLSCHAFT MBH,AT,Graz,"(47.0693, 15.4097888)"
A  GRAZ10,CAMPUS 02 FACHHOCHSCHULE DER WIRTSCHAFT GMBH,AT,Graz,"(47.0894341, 15.4401255)"
A  GRAZ23,MEDIZINISCHE UNIVERSITÄT GRAZ,AT,GRAZ,"(47.0797409, 15.4665653)"
A  INNSBRU01,LEOPOLD-FRANZENS-UNIVERSITÄT INNSBRUCK ,AT,Innsbruck,"(47.26335419999999, 11.3838006)"
A  INNSBRU03,PAEDAGOGISCHE HOCHSCHULE TIROL,AT,INNSBRUCK,"(47.2533719, 11.3952919)"
A  INNSBRU08,MANAGEMENT CENTER INNSBRUCK ,AT,INNSBRUCK,"(47.26905199999999, 11.398186)"
A  INNSBRU09,KIRCHLICHE PÄDAGOGISCHE HOCHSCHULE - EDITH STEIN (KPH-ES),AT,INNSBRUCK,"(47.2722287, 11.3876452)"
A  INNSBRU20,"PRIVATE UNIVERSITAET FUER GESUNDHEITSWISSENSCHAFTEN, MEDIZINISCHE INFORMATIK UND TECHNIK (UMIT)",AT,HALL ,"(47.2836374, 11.5172275)"
A  INNSBRU21,MEDIZINISCHE UNIVERSITAET INNSBRUCK,AT,INNSBRUCK,"(47.26303619999999, 11.3844528)"
A  INNSBRU23,FHG - ZENTRUM FÜR GESUNDHEITSBERUFE TIROL GMBH,AT,INNSBRUCK,"(47.2585881, 11.3800125)"
A  KLAGENF01,UNIVERSITÄT KLAGENFURT,AT,Klagenfurt,"(46.616079, 14.2652899)"
A  KLAGENF02,"PÄDAGOGISCHE HOCHSCHULE KÄRNTEN, VIKTOR FRANKL HOCHSCHULE",AT,KLAGENFURT ,"(46.6081879, 14.2892942)"
A  KLAGENF06,KÄRNTNER LANDESKONSERVATORIUM,AT,KLAGENFURT,"(46.6212762, 14.3136966)"
A  KREMS02,INTERNATIONALES KOLLEG FUR TOURISMUS UND MANAGEMENT - ITM GMBH,AT,Semmering,"(47.6435616, 15.8302052)"
A  KREMS03,IMC FACHHOCHSCHULE KREMS GESMBH,AT,Krems,"(48.40872, 15.5880216)"
A  KREMS05,"DONAU-UNIVERSITÄT KREMS (DUK), ÖSTERREICH",AT,Krems,"(48.4081548, 15.5862305)"
A  KUFSTEI01,FHS KUFSTEIN TIROL BILDUNGS - GMBH,AT,Kufstein,"(47.583807, 12.1736679)"
A  LEOBEN01,MONTANUNIVERSITAET LEOBEN ,AT,Leoben,"(47.3847372, 15.0930201)"
A  LINZ01,JOHANNES KEPLER UNIVERSITAET LINZ,AT,Linz,"(48.336614, 14.319305)"
A  LINZ02,UNIVERSITAET FUER KUENSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ,AT,Linz,"(48.305847, 14.2893048)"
A  LINZ03,PAEDAGOGISCHE HOCHSCHULE OBEROESTERREICH,AT,LINZ,"(48.3076144, 14.3047467)"
A  LINZ04,PRIVATE PAEDAGOGISCHE HOCHSCHULE DER DIÖZESE LINZ,AT,Linz,"(48.2972328, 14.2733199)"
A  LINZ11,KATHOLISCH-THEOLOGISCHE PRIVATUNIVERSITÄT LINZ,AT,LINZ,"(48.3036115, 14.2916436)"
A  LINZ17,"Anton Bruckner Privatuniversitaet fuer Musik, Schauspiel und Tanz",AT,Linz,"(48.3112427, 14.2689553)"
A  LINZ23,FH GESUNDHEITSBERUFE OÖ GMBH ,AT,LINZ,"(48.3024301, 14.3076584)"
A  SALZBUR01,UNIVERSITAET SALZBURG,AT,Salzburg,"(47.79722959999999, 13.0479826)"
A  SALZBUR02,UNIVERSITÄT MOZARTEUM SALZBURG,AT,Salzburg,"(47.8038789, 13.0436663)"
A  SALZBUR03,PAEDAGOGISCHE HOCHSCHULE SALZBURG,AT,Salzburg,"(47.7926778, 13.0541664)"
A  SALZBUR08,FACHHOCHSCHULE SALZBURG  GMBH,AT,Puch/Salzburg,"(47.72336, 13.0871409)"
A  SALZBUR18,PRIVATUNIVERSITÄT SCHLOSS SEEBURG,AT,SEEKIRCHEN,"(47.9031027, 13.136157)"
A  SCHLAIN01,EUROPEAN PEACE UNIVERSITY (EPU) - PRIVATE UNIVERSITÄT,AT,STADTSCHLAINING,"(47.32252219999999, 16.2742497)"
A  SPITTAL01,FACHHOCHSCHULE KAERNTEN GEMEINNUETZIGE PRIVATSTIFTUNG,AT,Spittal/Drau,"(46.6103274, 14.3304032)"
A  ST-POLT03,FACHHOCHSCHULE ST. PÖLTEN GMBH,AT,ST. PÖLTEN,"(48.2138999, 15.6318955)"
A  ST-POLT10,NEW DESIGN UNIVERSITY (PRIVATUNIVERSITÄT DER KREATIVWIRTSCHAFT GWT AUS- UND WEITERBILDUNGS GESMBH),AT,ST. PÖLTEN,"(48.18744359999999, 15.6192813)"
A  WELS01,FH OBEROESTERREICH STUDIENBETRIEBSGMBH,AT,Wels,"(48.1548429, 14.0112978)"
A  WIEN01,UNIVERSITAET WIEN,AT,Wien,"(48.21318549999999, 16.3600504)"
A  WIEN02,TECHNISCHE UNIVERSITÄT WIEN,AT,Wien,"(48.1986546, 16.3684626)"
A  WIEN03,UNIVERSITAT FUR BODENKULTUR WIEN,AT,Wien,"(48.2365448, 16.337579)"
A  WIEN04,VETERINAERMEDIZINISCHE UNIVERSITAET WIEN,AT,Wien,"(48.25442229999999, 16.4316619)"
A  WIEN05,WIRTSCHAFTSUNIVERSITAET WIEN,AT,Wien,"(48.21342749999999, 16.4084666)"
A  WIEN06,AKADEMIE DER BILDENDEN KUENSTE WIEN,AT,WIEN,"(48.2012533, 16.3651029)"
A  WIEN07,UNIVERSITAET FUER ANGEWANDTE KUNST WIEN,AT,Wien,"(48.208361, 16.3823507)"
A  WIEN08,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST WIEN,AT,Wien,"(48.2018433, 16.3848833)"
A  WIEN09,PAEDAGOGISCHE HOCHSCHULE WIEN,AT,Wien,"(48.1648481, 16.3740426)"
A  WIEN10,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE WIEN/KREMS,AT,Wien,"(48.2942221, 16.3809957)"
A  WIEN15,HOCHSCHULE FÜR AGRAR- UND UMWELTPÄDAGOGIK,AT,Wien,"(48.1842036, 16.2663763)"
A  WIEN20,FACHHOCHSCHULE TECHNIKUM WIEN,AT,Wien,"(48.23928309999999, 16.3773241)"
A  WIEN21,FACHHOCHSCHUL-STUDIENGANGE BETRIEBS- UND FORSCHUNGSEINRICHTUNGEN DER WIENER WIRTSCHAFT GMBH,AT,Vienna ,"(48.2266205, 16.3488829)"
A  WIEN36,EUROPA-WIRTSCHAFTSSCHULEN GESELLSCHAFT M.B.H.,AT,Wien,"(48.2159168, 16.3635573)"
A  WIEN38,FACHHOCHSCHULE DES BFI WIEN GESELLSCHAFT M.B.H.,AT,WIEN,"(48.2191963, 16.4033427)"
A  WIEN52,KONSERVATORIUM WIEN PRIVATUNIVERSITÄT,AT,Vienna,"(48.2048619, 16.3722642)"
A  WIEN63,"FH CAMPUS WIEN - VEREIN ZUR FÖRDERUNG DES FACHHOCHSCHUL-, ENTWICKLUNGS- UND FORSCHUNGSZENTRUMS IM SÜDEN WIENS",AT,Wien,"(48.1581335, 16.3818151)"
A  WIEN64,MEDIZINISCHE UNIVERSITAET WIEN,AT,Wien,"(48.2196989, 16.3515215)"
A  WIEN65,DIPLOMATISCHE AKADEMIE WIEN,AT,Wien,"(48.1939832, 16.3705851)"
A  WIEN66,MODUL UNIVERSITY VIENNA,AT,VIENNA,"(48.2747098, 16.3361587)"
A  WIEN67,TCM PRIVATUNIVERSITÄT LI SHI ZHEN,AT,WIEN,"(48.2244869, 16.3173224)"
A  WIEN68,SIGMUND FREUD PRIVATUNIVERSITÄT,AT,VIENNA,"(48.2152797, 16.4051092)"
A  WIEN69,PRIVATER STUDIENGANG FÜR DAS LEHRAMT FÜR ISLAMISCHE RELIGION AN PFLICHTSCHULEN,AT,WIEN,"(48.1392941, 16.3101858)"
A  WIEN70,LAUDER BUSINESS SCHOOL,AT,WIEN,"(48.2426733, 16.3524646)"
A  WIENER01,FACHHOCHSCHULE WIENER NEUSTADT FÜR WIRTSCHAFT UND TECHNIK GMBH. (FHWN),AT,WIENER NEUSTADT,"(47.83855, 16.2474316)"
A  WIENER04,THERESIANISCHE MILITÄRAKADEMIE - FACHHOCHSCHUL-BACHELORSTUDIENGANG MILITÄRISCHE FÜHRUNG,AT,WR. NEUSTADT,"(47.8098608, 16.2458879)"
B  ANTWERP01,UNIVERSITEIT ANTWERPEN,BE,ANTWERPEN,"(51.2228097, 4.4102318)"
B  ANTWERP57,ARTESIS HOGESCHOOL ANTWERPEN,BE,ANTWERPEN,"(51.21946459999999, 4.4121492)"
B  ANTWERP58,PLANTIJNHOGESCHOOL VAN DE PROVINCIE ANTWERPEN,BE,ANTWERPEN,"(51.2119087, 4.3997557)"
B  ANTWERP59,"KAREL DE GROTE HOGESCHOOL, KATHOLIEKE HOGESCHOOL ANTWERPEN, VZW",BE,ANTWERPEN,"(51.202291, 4.390473000000001)"
B  ANTWERP60,LESSIUS ANTWERPEN,BE,ANTWERPEN,"(51.22028, 4.4049881)"
B  ANTWERP61,HOGERE ZEEVAARTSCHOOL,BE,Antwerpen,"(51.240545, 4.39816)"
B  ARLON09,HAUTE ECOLE ROBERT SCHUMAN,BE,LIBRAMONT,"(49.9280097, 5.3788132)"
B  BRUGGE11,KATHOLIEKE HOGESCHOOL BRUGGE-OOSTENDE,BE,BRUGGE,"(51.1872171, 3.2050963)"
B  BRUSSEL01,VRIJE UNIVERSITEIT BRUSSEL,BE,BRUSSEL,"(50.821658, 4.394886)"
B  BRUSSEL02,HUB-KUBRUSSEL,BE,BRUSSEL,"(50.82770259999999, 4.3555177)"
B  BRUSSEL05,HUB-EHSAL,BE,BRUSSEL,"(50.8490158, 4.3565102)"
B  BRUSSEL37,HOGESCHOOL SINT-LUKAS BRUSSEL,BE,Brussels,"(50.8612252, 4.367375900000001)"
B  BRUSSEL43,HOGESCHOOL VOOR WETENSCHAP & KUNST,BE,BRUSSEL,"(50.86124110000001, 4.3673231)"
B  BRUSSEL46,ERASMUSHOGESCHOOL BRUSSEL,BE,BRUSSEL,"(50.842239, 4.322808)"
B  BRUSSEL47,VESALIUS COLLEGE ,BE,Brussels,"(50.821307, 4.391478999999999)"
B  BRUXEL01,ECOLE ROYALE MILITAIRE - KONINKLIJKE MILITAIRE SCHOOL,BE,BRUXELLES,"(50.8451817, 4.3935335)"
B  BRUXEL02,FACULTES UNIVERSITAIRES SAINT-LOUIS,BE,BRUXELLES,"(50.85363880000001, 4.361341599999999)"
B  BRUXEL04,UNIVERSITÉ LIBRE DE BRUXELLES,BE,BRUXELLES,"(50.8132068, 4.3822222)"
B  BRUXEL05,"ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES, ECOLE SUPÉRIEURE DES ARTS",BE,BRUXELLES,"(50.84378110000001, 4.3480273)"
B  BRUXEL07,CONSERVATOIRE ROYAL DE BRUXELLES,BE,Bruxelles,"(50.839083, 4.3557736)"
B  BRUXEL15,ECOLE NATIONALE SUPÉRIEURE DES ARTS VISUELS DE LA CAMBRE,BE,BRUXELLES,"(50.8178008, 4.3751015)"
B  BRUXEL28,"ECOLE COMMUNALE D'ENSEIGNEMENT SUPERIEUR DES ARTS DE L'IMAGE ""LE 75""",BE,BRUXELLES,"(50.8444504, 4.439983499999999)"
B  BRUXEL81,HAUTE ECOLE COMMUNAUTE FRANCAISE BRUXELLES,BE,BRUXELLES,"(50.8505269, 4.3642391)"
B  BRUXEL82,HAUTE ECOLE EPHEC,BE,BRUXELLES,"(50.8498949, 4.4485103)"
B  BRUXEL83 ,HAUTE ECOLE FRANCISCO FERRER,BE,BRUXELLES,"(50.84063940000001, 4.342228)"
B  BRUXEL84,HAUTE ECOLE GALILEE,BE,Bruxelles,"(50.8583145, 4.367838)"
B  BRUXEL85,HAUTE ECOLE LIBRE DE BRUXELLES ILYA PRIGOGINE ASBL,BE,Bruxelles,"(50.8210471, 4.3400327)"
B  BRUXEL86,HAUTE ECOLE 'GROUPE ICHEC-ISC SAINT LOUIS-ISFSC',BE,Bruxelles,"(50.8383646, 4.4085297)"
B  BRUXEL87,HAUTE ECOLE LEONARD DE VINCI,BE,BRUXELLES,"(50.84991300000001, 4.4537721)"
B  BRUXEL88,HAUTE ECOLE LUCIA DE BROUCKERE,BE,BRUXELLES,"(50.81622609999999, 4.296673)"
B  BRUXEL89,HAUTE ECOLE PAUL-HENRI SPAAK,BE,BRUXELLES,"(50.8189272, 4.367710199999999)"
B  BRUXEL90,ECOLE SUPÉRIEURE DES ARTS SAINT-LUC BRUXELLES,BE,Bruxelles,"(50.8259145, 4.3519561)"
B  BRUXEL91,ERG-ESA (ECOLE DE RECHERCHE GRAPHIQUE - ECOLE SUPÉRIEURE DES ARTS,BE,Bruxelles,"(50.8220823, 4.3570922)"
B  DIEPENB01,UNIVERSITEIT HASSELT,BE,Diepenbeek,"(50.9263616, 5.391964)"
B  DIEPENB07,TRANSNATIONALE UNIVERSITEIT  LIMBURG,BE,Diepenbeek,"(50.84708209999999, 5.686454599999999)"
B  EUPEN04,AUTONOME HOCHSCHULE IN DER DEUTSCHSPRACHIGEN GEMEINSCHAFT,BE,EUPEN,"(50.6177401, 6.0480611)"
B  GEEL07,THOMAS MORE KEMPEN,BE,GEEL,"(51.1601218, 4.9614528)"
B  GENT01,UNIVERSITEIT GENT,BE,GENT,"(51.0465619, 3.727918099999999)"
B  GENT16,KATHOLIEKE HOGESCHOOL SINT-LIEVEN,BE,GENT,"(51.0610519, 3.7085612)"
B  GENT25,HOGESCHOOL GENT,BE,GENT,"(51.0315545, 3.7069184)"
B  GENT39,ARTEVELDEHOGESCHOOL ,BE,Gent,"(51.0554832, 3.7233571)"
B  GENT40,ORPHEUS INSTITUUT,BE,Gent,"(51.051627, 3.722822)"
B  HASSELT03,XIOS HOGESCHOOL LIMBURG,BE,Diepenbeek,"(50.92897989999999, 5.395022099999999)"
B  HASSELT20,KATHOLIEKE HOGESCHOOL LIMBURG vzw,BE,DIEPENBEEK,"(50.92847159999999, 5.3887681)"
B  HASSELT21,PROVINCIALE HOGESCHOOL LIMBURG,BE,HASSELT,"(50.937485, 5.3479794)"
B  HEVERLE05,EVANGELISCHE THEOLOGISCHE FACULTEIT ,BE,HEVERLEE (LEUVEN),"(50.8680921, 4.664277100000001)"
B  KORTRIJ01,KATHOLIEKE HOGESCHOOL ZUID-WEST-VLAANDEREN,BE,KORTRIJK,"(50.8067515, 3.282082)"
B  KORTRIJ03,HOGESCHOOL WEST-VLAANDEREN,BE,Kortrijk,"(50.8217236, 3.250614300000001)"
B  LEUVEN01,KATHOLIEKE UNIVERSITEIT LEUVEN,BE,LEUVEN,"(50.87795449999999, 4.7002953)"
B  LEUVEN04,GROEP T - INTERNATIONALE HOGESCHOOL LEUVEN,BE,Leuven,"(50.8748769, 4.7077753)"
B  LEUVEN18,KATHOLIEKE HOGESCHOOL LEUVEN ,BE,Leuven (Heverlee),"(50.87795449999999, 4.7002953)"
B  LIEGE01,UNIVERSITÉ DE LIÈGE,BE,LIÈGE,"(50.5830803, 5.559063999999999)"
B  LIEGE02,ACADEMIE ROYALE DES BEAUX-ARTS DE LIEGE (ECOLE SUPERIEURE DES ARTS DE LA VILLE DE LIEGE),BE,LIEGE,"(50.6471986, 5.5681202)"
B  LIEGE03,CONSERVATOIRE ROYAL DE LIEGE,BE,Liege,"(50.6347661, 5.570906300000001)"
B  LIEGE07,ECOLE SUPERIEURE DES ARTS SAINT-LUC DE LIEGE,BE,LIEGE,"(50.6437934, 5.5859578)"
B  LIEGE37,HAUTE ECOLE LIBRE MOSANE (HELMO),BE,LIEGE,"(50.64438, 5.565449)"
B  LIEGE38,HAUTE ECOLE DE LA PROVINCE DE LIEGE,BE,JEMEPPE,"(50.6204429, 5.516703199999999)"
B  LIEGE42,HAUTE ECOLE DE LA VILLE DE LIEGE,BE,LIEGE,"(50.63976599999999, 5.569972)"
B  LIEGE43,HAUTE ECOLE CHARLEMAGNE  ,BE,LIÈGE,"(50.623473, 5.574591)"
B  LOUVAIN01,UNIVERSITÉ CATHOLIQUE DE LOUVAIN,BE,LOUVAIN-LA-NEUVE,"(50.66968749999999, 4.6155909)"
B  LOUVAIN02,INSTITUT DES ARTS DE DIFFUSION (IAD),BE,Louvain-la-Neuve,"(50.6706616, 4.6040492)"
B  MECHELE14,THOMAS MORE MECHELEN,BE,MECHELEN,"(51.0260401, 4.4887206)"
B  MONS20,HAUTE ECOLE de la Communaute francaise EN HAINAUT,BE,MONS,"(50.4600253, 3.9565885)"
B  MONS21,UNIVERSITÉ DE MONS,BE,MONS,"(50.45858699999999, 3.951435599999999)"
B  MONS22,HAUTE ECOLE LOUVAIN EN HAINAUT,BE,MONS,"(50.452251, 3.986062)"
B  MONS23,HAUTE ECOLE PROVINCIALE DU HAINAUT-CONDORCET  ,BE,MONS,"(50.46397469999999, 3.9528947)"
B  NAMUR01,FACULTES UNIVERSITAIRES NOTRE-DAME DE LA PAIX,BE,Namur,"(50.466158, 4.860199)"
B  NAMUR11,HAUTE ECOLE ALBERT JACQUARD,BE,Namur,"(50.46686769999999, 4.867528099999999)"
B  NAMUR13,IMEP NAMUR,BE,NAMUR,"(50.4647734, 4.846470099999999)"
B  NAMUR14,LA HAUTE ECOLE DE LA PROVINCE DE NAMUR (HEPN),BE,NAMUR,"(50.4653529, 4.8395475)"
B  NAMUR15 ,HAUTE ECOLE DE NAMUR-LIÈGE-LUXEMBOURG,BE,NAMUR,"(50.4733068, 4.8551059)"
B  TOURNAI01,ACADEMIE DES BEAUX-ARTS DE LA VILLE DE TOURNAI,BE,TOURNAI,"(50.6078458, 3.3901409)"
BG ALBENA01,INTERNATIONAL UNIVERSITY COLLEGE,BG,DOBRICH,"(43.567735, 27.827081)"
BG BLAGOEV02,"UGOZAPADEN  UNIVERSITET ""NEOPHIT RILSKI"" - BLAGOEVGRAD, BULGARIA",BG,BLAGOEVGRAD,"(42.0185, 23.07744)"
BG BLAGOEV03,AMERICAN UNIVERSITY IN BULGARIA,BG,BLAGOEVGRAD,"(42.0130463, 23.0953877)"
BG BOTEVGR02,INTERNATIONAL BUSINESS SCHOOL,BG,BOTEVGRAD,"(42.9067691, 23.7886298)"
BG BOURGAS01,BURGASKI SVOBODEN UNIVERSITET,BG,BURGAS,"(42.5035722, 27.4689976)"
BG BOURGAS02,PROF. DR. ASSEN ZLATAROV UNIVERSITY,BG,BURGAS,"(42.526552, 27.449715)"
BG GABROVO01,TEHNITSCHESKI UNIVERSITET GABROVO,BG,GABROVO,"(42.8754665, 25.3162041)"
BG PERNIK01,EUROPEAN POLYTECHNICAL UNIVERSITY,BG,PERNIK,"(42.6109032, 23.0405426)"
BG PLEVEN01,Meditsinski Universitet - Pleven,BG,PLEVEN,"(43.411219, 24.6276283)"
BG PLOVDIV01,AGRAREN UNIVERSITET - PLOVDIV,BG,PLOVDIV,"(42.1341, 24.7655)"
BG PLOVDIV02,MEDITCINSKY UNIVERSITET - PLOVDIV,BG,PLOVDIV,"(42.1397826, 24.7351666)"
BG PLOVDIV04,"PLOVDIVSKI UNIVERSITET ""PAISII HILENDARSKI""",BG,PLOVDIV,"(42.1382495, 24.7513931)"
BG PLOVDIV05,UNIVERSITY OF FOOD TECHNOLOGIES,BG,Plovdiv,"(42.1523, 24.7322)"
BG PLOVDIV07,"AKADEMIYA ZA MUZIKALNO, TANTSOVO I IZOBRAZITELNO IZKUSTVO",BG,PLOVDIV,"(42.1354079, 24.7452904)"
BG PLOVDIV08,ЕВРОПЕЙСКИ КОЛЕЖ ПО ИКОНОМИКА И УПРАВЛЕНИЕ,BG,PLOVDIV,"(42.1287163, 24.7210324)"
BG PLOVDIV09,UNIVERSITY OF AGRIBUSINESS AND RURAL DEVELOPMENT,BG,PLOVDIV,"(42.1625244, 24.7449025)"
BG PLOVDIV10,COLLEGE OF ECONOMICS AND ADMINISTRATION - PLOVDIV,BG,PLOVDIV,"(42.1213106, 24.7610492)"
BG ROUSSE01,"RUSENSKI UNIVERSITET ""ANGEL KANCHEV"" ",BG,ROUSSE,"(43.854554, 25.970175)"
BG SHOUMEN01,SHUMENSKI UNIVERSITET EPISKOP KONSTANTIN PRESLAVSKI,BG,SHUMEN,"(43.27966, 26.9479249)"
BG SOFIA02,NOV BULGARSKI UNIVERSITET,BG,SOFIA,"(42.677864, 23.2526939)"
BG SOFIA03,UNIVERSITY OF NATIONAL AND WORLD ECONOMY,BG,Sofia,"(42.651266, 23.348848)"
BG SOFIA04,"UNIVERSITET PO ARCHITECTURA, STROITELSTVO I GEODESIA",BG,SOFIA,"(42.68477679999999, 23.3309028)"
BG SOFIA06,"SOFIISKI UNIVERSITET ""SVETI KLIMENT OHRIDSKI""",BG,SOFIA,"(42.6935079, 23.3347928)"
BG SOFIA08,НАЦИОНАЛНА ХУДОЖЕСТВЕНА АКАДЕМИЯ,BG,SOFIA,"(42.6950917, 23.3341877)"
BG SOFIA09,"MINNO-GEOLOGKI UNIVERSITET ""SV. IVAN RILSKI""",BG,SOFIA,"(42.6977082, 23.3218675)"
BG SOFIA11,MEDITSINSKI UNIVERSITET -SOFIA,BG,SOFIA ,"(42.6825153, 23.3025861)"
BG SOFIA12,LESOTEHNITCHESKI UNIVERSITET,BG,SOFIA,"(42.6537179, 23.3586361)"
BG SOFIA13,"НАЦИОНАЛНА МУЗИКАЛНА АКАДЕМИЯ ""ПРОФ.ПАНЧО ВЛАДИГЕРОВ""",BG,SOFIA,"(42.6950659, 23.3471729)"
BG SOFIA16,TEHNICHESKI UNIVERSITET SOFIA,BG,SOFIA,"(42.6570607, 23.3551086)"
BG SOFIA17,"NATZIONALNA SPORTNA AKADEMIA ""VASIL LEVSKI""",BG,SOFIA,"(42.6450366, 23.3489127)"
BG SOFIA18,"NATZIONALNA AKADEMIYA ZA TEATRALNO I FILMOVO IZKUSTVO ""KRUSTYO SARAFOV"" (NATFIZ)",BG,SOFIA,"(42.6923355, 23.3260808)"
BG SOFIA20,CHIMIKOTECHNOLOGICHEN I METALURGICHEN UNIVERSITET,BG,SOFIA,"(42.6935079, 23.3347928)"
BG SOFIA21,"VISSHE STROITELNO UCHILISHTE ""LYUBEN KARAVELOV"" - SOFIA",BG,SOFIA,"(42.694728, 23.248373)"
BG SOFIA22,"VISSHE TRANSPORTNO UCHILISHTE ""TODOR KABLESHKOV"", SOFIA",BG,SOFIA,"(42.6790043, 23.3818407)"
BG SOFIA24,СПЕЦИАЛИЗИРАНО ВИСШЕ УЧИЛИЩЕ ПО БИБЛИОТЕКОЗНАНИЕ И ИНФОРМАЦИОННИ ТЕХНОЛОГИИ – СОФИЯ,BG,SOFIA,"(42.6577281, 23.3877062)"
BG SOFIA26,"COLLEGE OF MANAGEMENT, TRADE AND MARKETING - SOFIA (MT&M COLLEGE-SOFIA)",BG,SOFIA,"(42.6850073, 23.2973502)"
BG SOFIA28,KOLEZH PO TELEKOMUNIKATSII I POSHTI,BG,SOFIA,"(42.6558606, 23.3494793)"
BG SOFIA30,BALGARSKA AKADEMIA NA NAUKITE,BG,SOFIA,"(42.6944431, 23.3320134)"
BG SOFIA31,VISCHE UCHILISTE PO ZASTRAHOVANE I FINANSI (VUZF),BG,SOFIA,"(42.6704904, 23.2676895)"
BG SOFIA32,АКАДЕМИЯ НА МИНИСТЕРСТВО НА ВЪТРЕШНИТЕ РАБОТИ,BG,SOFIA,"(42.6315084, 23.3709363)"
BG STARA-Z01,TRAKIYSKI UNIVERSITET,BG,STARA ZAGORA,"(42.40071469999999, 25.5711639)"
BG SVISHTO02,"STOPANSKA AKADEMIA ""D.A.TSENOV""",BG,SVISHTOV,"(43.620886, 25.344541)"
BG VARNA01,"VARNENSKI SVOBODEN UNIVERSITET ""CHERNORIZETS HRABAR""",BG,VARNA,"(43.2581601, 28.0267701)"
BG VARNA02,TEHNICHESKI UNIVERSITET - VARNA,BG,VARNA,"(43.22394060000001, 27.9358413)"
BG VARNA03,MEDITSINSKI UNIVERSITET - VARNA,BG,VARNA,"(43.2121594, 27.92123)"
BG VARNA04,IKONOMICHESKI UNIVERSITET - VARNA,BG,VARNA,"(43.209057, 27.923601)"
BG VARNA05,"ВИСШЕ ВОЕННОМОРСКО УЧИЛИЩЕ ""Н. Й. ВАПЦАРОВ""",BG,VARNA,"(43.2119466, 27.9329878)"
BG VELIKO01,VELIKOTURNOVSKI UNIVERSITET SV. SV. KIRIL I METODII,BG,Veliko Turnovo,"(43.078432, 25.649235)"
BG VELIKO02,NATZIONALEN VOENEN UNIVERSITET VASSIL LEVSKI,BG,VELIKO TARNOVO,"(43.08223, 25.60191)"
CH BASEL01,UNIVERSITÄT BASEL,CH,BASEL,"(47.56025349999999, 7.5826)"
CH BELLINZ01,SCUOLA SUPERIORE ALBERGHIERA E DEL TURISMO,CH,BELLINZONA,"(46.1951282, 9.013207)"
CH BERN01,UNIVERSITÄT BERN,CH,BERN,"(46.9504896, 7.438119)"
CH BERN11,BERNER FACHHOCHSCHULE,CH,BERN,"(46.9423824, 7.4405459)"
CH BERN12,PÄDAGOGISCHE HOCHSCHULE PHBERN,CH,BERN,"(46.952237, 7.422682999999999)"
CH BERN13,BERNER BILDUNGSZENTRUM PFLEGE,CH,BERN,"(46.9430608, 7.408928599999999)"
CH BERN14,BFF BERN,CH,BERN,"(46.9444347, 7.4365711)"
CH BRUGG02,FACHHOCHSCHULE NORDWESTSCHWEIZ,CH,BRUGG,"(47.4818831, 8.211481)"
CH CHUR03,THEOLOGISCHE HOCHSCHULE CHUR,CH,CHUR,"(46.8480263, 9.5378119)"
CH DELEMON02,HAUTE ÉCOLE SPÉCIALISÉE DE SUISSE OCCIDENTALE,CH,DELÉMONT,"(47.3625918, 7.3522363)"
CH FRIBOUR01,UNIVERSITÉ DE FRIBOURG - UNIVERSITÄT FREIBURG,CH,FRIBOURG,"(46.806357, 7.152006)"
